# t (s)	mx ()	my ()	mz ()
0	0.9667288	0.12570287	0
5.032044357272541e-12	0.9662002	0.12482816	0.0014228149
1.0294980794512398e-11	0.96454424	0.12213894	0.0028608814
1.5086957706146706e-11	0.961976	0.11812617	0.004115612
2.0106847944926872e-11	0.95806795	0.11232562	0.0053765713
2.5113754265560723e-11	0.9527577	0.104899526	0.0065959273
3.002326485242597e-11	0.9459911	0.095999844	0.007781581
3.517351573633441e-11	0.93701833	0.08490107	0.009052348
4.006544069332111e-11	0.9265149	0.07264633	0.01032333
4.51664266188723e-11	0.9132964	0.058055695	0.011753371
5.001029136479501e-11	0.8984086	0.042474993	0.013240487
5.5164498076295636e-11	0.8798562	0.024068905	0.014985202
6.001646461493034e-11	0.859634	0.0050784997	0.016794564
6.516234367759038e-11	0.8350295	-0.016710015	0.018897604
7.005351816399127e-11	0.8083928	-0.03882801	0.021073025
7.525635912696605e-11	0.7762999	-0.06361231	0.023572758
8.012576943779985e-11	0.7424675	-0.08768291	0.026081558
8.526094529866591e-11	0.70247704	-0.11358042	0.028901465
9.01150429775864e-11	0.6602693	-0.13808502	0.031732026
9.525641674031594e-11	0.61051214	-0.1634598	0.03491214
1.0012026580132843e-10	0.55830866	-0.18623313	0.03810628
1.0526345376881401e-10	0.49734986	-0.20812938	0.041701015
1.1012307382161384e-10	0.43411025	-0.22579	0.04532582
1.152733337531027e-10	0.36107695	-0.24009858	0.04943489
1.200775705079429e-10	0.2876062	-0.24816291	0.05353794
1.251357044309523e-10	0.20527132	-0.24983108	0.05816709
1.3019465495864642e-10	0.11881575	-0.24318945	0.06316183
1.352705731560717e-10	0.029370388	-0.2268949	0.0686191
1.4008224730688037e-10	-0.056226227	-0.20136908	0.074266784
1.4519490346515443e-10	-0.14556247	-0.16212873	0.08064856
1.5003541247132123e-10	-0.22513874	-0.112395205	0.08643044
1.551648292847312e-10	-0.29880857	-0.046846516	0.0908365
1.6026791874183768e-10	-0.35564503	0.02723766	0.09173191
1.6504194684511547e-10	-0.39174837	0.09772761	0.08859921
1.7008634764388778e-10	-0.41423008	0.16631071	0.0813995
1.7513247594591255e-10	-0.4259824	0.2243616	0.07107648
1.8018140559500153e-10	-0.43285683	0.27031714	0.05847129
1.8523458950162432e-10	-0.43948057	0.30421096	0.044158336
1.900133445638799e-10	-0.44815567	0.32532188	0.02942571
1.9508215928834405e-10	-0.46113944	0.33568695	0.012932872
2.0016369482184107e-10	-0.47810224	0.33274114	-0.0038474898
2.0525906838206434e-10	-0.49832428	0.31594628	-0.01996553
2.100834170922618e-10	-0.5191923	0.2880438	-0.03360111
2.1520439693535298e-10	-0.5415838	0.24759175	-0.04545034
2.200461220730055e-10	-0.5617578	0.20114087	-0.053667687
2.2517359230834643e-10	-0.5808954	0.1447364	-0.059128895
2.3000919840738772e-10	-0.59484166	0.08525898	-0.061439943
2.351182827299972e-10	-0.60123986	0.016816566	-0.061135143
2.4021688414791645e-10	-0.5942314	-0.05372334	-0.058213133
2.4502667045998835e-10	-0.57291734	-0.11685792	-0.05336856
2.501175894291463e-10	-0.53651136	-0.1743447	-0.046604626
2.5521083887706965e-10	-0.49135873	-0.21928516	-0.038776364
2.6002553170155387e-10	-0.44663838	-0.25084087	-0.030712074
2.6512807772917014e-10	-0.40198568	-0.27557606	-0.021421973
2.7023467819533765e-10	-0.3628713	-0.29438746	-0.011119263
2.7505779604946e-10	-0.3321033	-0.30814618	-0.00030035924
2.801595683210834e-10	-0.30663177	-0.31822646	0.012257097
2.852475401267636e-10	-0.28889295	-0.32209623	0.025658814
2.900333179003529e-10	-0.27913916	-0.31811514	0.038694337
2.950854028231781e-10	-0.27507323	-0.30411315	0.052440148
3.001315957551641e-10	-0.2753071	-0.27943033	0.06564712
3.05187217796725e-10	-0.27745673	-0.24487767	0.077902384
3.102650473246093e-10	-0.27963343	-0.2022158	0.08886065
3.1508255078896647e-10	-0.2804596	-0.15634502	0.09763248
