# t (s)	mx ()	my ()	mz ()
4.452369584061904e-10	-0.90545	0.024576923	-0.08200446
4.5004183304178156e-10	-0.8940953	-0.02843441	-0.077209584
4.551312290262441e-10	-0.88140583	-0.07924918	-0.06994942
4.6022629397420553e-10	-0.8695555	-0.12505074	-0.06072803
4.650457344692905e-10	-0.86018175	-0.16377689	-0.050472032
4.701556865592061e-10	-0.8534844	-0.19952025	-0.0382792
4.752669902087541e-10	-0.8516088	-0.22899713	-0.024976816
4.800903515709369e-10	-0.8553485	-0.24994406	-0.011528352
4.851904927254422e-10	-0.86552185	-0.2629944	0.0035142372
4.900030016279139e-10	-0.88031507	-0.26443097	0.01818883
4.950946718176229e-10	-0.89955515	-0.25206298	0.033565294
5.001838139150201e-10	-0.91921306	-0.22428878	0.047847886
5.052739680441944e-10	-0.9351457	-0.18224481	0.060155407
5.100779522905723e-10	-0.943775	-0.1324481	0.06945779
5.151592987131718e-10	-0.9454558	-0.07298115	0.07668252
5.20239390875866e-10	-0.94077617	-0.010000656	0.08121854
5.250354191340257e-10	-0.9317621	0.050422486	0.08311131
5.301125754977107e-10	-0.9183157	0.113849424	0.08274821
5.351950637248553e-10	-0.90188175	0.17567849	0.08010151
5.400001234021111e-10	-0.88480896	0.23158716	0.07555536
5.450931190335224e-10	-0.8666353	0.2869478	0.06858339
5.501860802963868e-10	-0.8502009	0.3369931	0.059465922
5.552743069836721e-10	-0.83725154	0.38035977	0.048416905
5.60081823503121e-10	-0.829355	0.4140958	0.036453985
5.651772090626297e-10	-0.82645637	0.4409336	0.02247396
5.702752760890321e-10	-0.8296527	0.45737743	0.007598123
5.750890059500405e-10	-0.8380658	0.46243295	-0.0067518335
5.801839223280097e-10	-0.851726	0.4559228	-0.021740226
5.852757091774089e-10	-0.86850166	0.43660977	-0.03601072
5.900814626616505e-10	-0.8850526	0.4065412	-0.04833195
5.951685804924382e-10	-0.9009326	0.36300328	-0.059583247
6.002598254354526e-10	-0.9130801	0.30934906	-0.06839727
6.0507329731037e-10	-0.9200703	0.2519925	-0.07399501
6.101720895095418e-10	-0.92254627	0.18738167	-0.07671247
6.15269433562926e-10	-0.9204851	0.12212815	-0.076068684
6.200787699266948e-10	-0.91537315	0.062905736	-0.07252267
6.251681733464124e-10	-0.90819687	0.0055051157	-0.065951645
6.302577618224369e-10	-0.9010992	-0.044299643	-0.056873493
6.35067940211084e-10	-0.89602345	-0.083140194	-0.046427466
6.401636190983721e-10	-0.8936824	-0.11484006	-0.033914447
6.452562597603468e-10	-0.89541495	-0.13642493	-0.020471994
6.500606772895363e-10	-0.901217	-0.14733478	-0.007384256
6.551449862816072e-10	-0.91163653	-0.1486079	0.00648398
6.6022568410264e-10	-0.92544436	-0.1389245	0.019931616
6.650236626733877e-10	-0.93984187	-0.11950322	0.031770613
6.701067551517043e-10	-0.9541422	-0.08837766	0.042799465
6.751918855377121e-10	-0.9651007	-0.047696542	0.051651966
6.802766294941668e-10	-0.97097117	0.00013474865	0.057816096
6.850801219282141e-10	-0.9712145	0.04913164	0.060933147
6.901667522538588e-10	-0.96624726	0.102053806	0.06138391
6.952515609040429e-10	-0.95709217	0.15338701	0.05913861
7.000501733893532e-10	-0.94604063	0.19859718	0.05485641
7.051300336493505e-10	-0.93350595	0.24170466	0.04837773
7.102129271518095e-10	-0.9219097	0.27889434	0.04024653
7.150181548643754e-10	-0.91319513	0.30770645	0.03134793
7.201094916801981e-10	-0.9073128	0.33058998	0.020897983
7.252031624090545e-10	-0.9054336	0.3447625	0.009623998
7.300145306432204e-10	-0.9074828	0.34953192	-0.0015444407
7.351072142243235e-10	-0.9133412	0.34499684	-0.013594957
7.401962014907537e-10	-0.9220207	0.33026138	-0.025444895
7.450005597177939e-10	-0.9316172	0.3068624	-0.036001347
7.500853890323323e-10	-0.9421024	0.27247098	-0.045989312
7.55169735814903e-10	-0.9520466	0.22940397	-0.054241773
7.602562949237531e-10	-0.96079695	0.17956567	-0.060317695
7.650606303425899e-10	-0.96748173	0.12839429	-0.06372974
7.701480049447496e-10	-0.97246593	0.07227844	-0.06460498
7.752347386824758e-10	-0.97497636	0.016759375	-0.0624776
7.800334797338298e-10	-0.9750088	-0.03268496	-0.057673756
7.851122584166015e-10	-0.9728505	-0.079450876	-0.049772523
7.901926425102458e-10	-0.96909606	-0.1182052	-0.03932332
7.95274543051832e-10	-0.964789	-0.14702576	-0.026865756
8.000743276118073e-10	-0.9613052	-0.16390987	-0.01386259
8.051572922543936e-10	-0.95920205	-0.17014919	0.00052931276
8.102357448001904e-10	-0.9593082	-0.16421045	0.014850383
8.150249988989961e-10	-0.9615018	-0.14764607	0.027701078
8.200931159280068e-10	-0.96556765	-0.119162954	0.040025517
8.251615236683902e-10	-0.9704051	-0.08057398	0.05050489
8.302316819339875e-10	-0.97462726	-0.033569787	0.05867807
8.350209443750616e-10	-0.9768178	0.016581558	0.06396161
8.400921899968027e-10	-0.9762939	0.07336287	0.06677511
8.451642310691503e-10	-0.97246563	0.13129002	0.06667422
8.502372937303602e-10	-0.96557343	0.18771774	0.06376418
8.550295373728913e-10	-0.9569197	0.23745969	0.05865554
8.601040810471903e-10	-0.9464838	0.28438744	0.05108373
8.651814090017e-10	-0.93588495	0.3237964	0.041707378
8.702616094639221e-10	-0.9262878	0.35443413	0.030990798
8.750615596106434e-10	-0.9190724	0.37453645	0.020047395
8.801445088787579e-10	-0.9142167	0.38602197	0.008004854
8.852284433667829e-10	-0.91287947	0.38737035	-0.0040745568
8.900299085954839e-10	-0.91508037	0.37955445	-0.015100238
8.95112836384709e-10	-0.9207447	0.36208704	-0.025936004
9.001960788180914e-10	-0.9289777	0.3358266	-0.035506953
9.052795934062374e-10	-0.93859726	0.3017786	-0.04344897
9.100804937747385e-10	-0.94779336	0.26373905	-0.049177002
9.151633424151053e-10	-0.95651287	0.21892637	-0.05315038
9.202453062894725e-10	-0.963342	0.17144057	-0.05485412
9.25044099809014e-10	-0.9677069	0.12605888	-0.054363605
9.301250159785284e-10	-0.97020227	0.07944472	-0.05168478
9.352058123314444e-10	-0.9709254	0.036266115	-0.046921548
9.400036817501987e-10	-0.9705053	0.00028520136	-0.040710658
9.45084398908192e-10	-0.9694912	-0.03125693	-0.03261551
9.50164792622757e-10	-0.9685409	-0.05488136	-0.023329211
9.552457309020597e-10	-0.9683223	-0.06982273	-0.013268963
9.600448925056726e-10	-0.9692643	-0.07563162	-0.003452895
9.651266309616027e-10	-0.9716665	-0.07298574	0.006849839
9.70209530428099e-10	-0.9753038	-0.06160824	0.016629735
9.75010194558287e-10	-0.97935635	-0.043422822	0.024996014
9.800928212174955e-10	-0.98352265	-0.017217824	0.03253578
9.851749977945063e-10	-0.98668885	0.014841881	0.03835306
9.902565331348872e-10	-0.98809814	0.051096424	0.042155422
9.950550914359375e-10	-0.9874387	0.087451965	0.04373111
1.0001356705267794e-09	-0.9846332	0.12622456	0.04321115
1.0052167426029086e-09	-0.98000896	0.16329601	0.04051937
1.010016194688925e-09	-0.97453594	0.19507879	0.036174323
1.0150981593574993e-09	-0.9683373	0.22382614	0.029969037
1.0201794093163013e-09	-0.9625626	0.24635652	0.022491328
1.0252599381044666e-09	-0.95800585	0.26187372	0.01416077
1.0300570262633576e-09	-0.95539004	0.26971322	0.0059058513
1.035136266948361e-09	-0.9547624	0.27072775	-0.0028279794
1.0402146030214607e-09	-0.95640254	0.2644732	-0.011147937
1.0450106415361886e-09	-0.9598119	0.25233224	-0.018297596
1.0500889539573749e-09	-0.9648793	0.2335511	-0.024826605
1.055167869189336e-09	-0.9707178	0.2095676	-0.030043708
1.0602462575486093e-09	-0.97652245	0.18151242	-0.03376061
1.0650430049759974e-09	-0.9813252	0.15246463	-0.035781663
1.0701223581155459e-09	-0.9851721	0.12040005	-0.036289733
1.0752024656360166e-09	-0.9874379	0.088475086	-0.035130583
1.0800011650717957e-09	-0.9880844	0.059797127	-0.03257155
1.0850832500688367e-09	-0.9874042	0.0323318	-0.028433472
1.0901667934618945e-09	-0.9857367	0.009084114	-0.023000974
1.0952509430484186e-09	-0.98357576	-0.008875671	-0.016508339
1.1000532038358176e-09	-0.9814791	-0.02023526	-0.009661655
1.1051381089610957e-09	-0.9795139	-0.025804	-0.0019678518
1.110223119656922e-09	-0.9780214	-0.024487786	0.005843495
1.1150256772665263e-09	-0.9771419	-0.016976753	0.013015805
1.120109949613336e-09	-0.97675526	-0.0027264967	0.02007037
1.1251938619047967e-09	-0.97679865	0.017396301	0.026259698
1.1302774525689638e-09	-0.9770439	0.042536676	0.031296633
1.1350777214153329e-09	-0.97716886	0.06990816	0.03477277
