# t (s)	mx ()	my ()	mz ()
4.5514657080140515e-10	-0.28393918	0.16839331	0.021415185
4.600011982918702e-10	-0.28689966	0.16630942	0.021358442
4.6501776095901e-10	-0.28990138	0.16410357	0.021306615
4.70034280943975e-10	-0.29284036	0.16184574	0.021261597
4.750509373282138e-10	-0.29571292	0.15953653	0.021222934
4.800675650686235e-10	-0.29851553	0.1571763	0.021189867
4.850839864281494e-10	-0.30124536	0.15476494	0.021161357
4.901005172305406e-10	-0.3039006	0.15230186	0.021136189
4.951170751223392e-10	-0.3064798	0.14978658	0.021113044
5.001337643278821e-10	-0.30898243	0.14721853	0.021090625
5.05150457246935e-10	-0.31140834	0.14459743	0.021067739
5.1000525367645e-10	-0.3136834	0.14201039	0.021044225
5.150219070735764e-10	-0.31595993	0.13928525	0.021017818
5.200385519193469e-10	-0.31816196	0.13650821	0.020988863
5.250550541999501e-10	-0.3202906	0.13368067	0.020957258
5.300718000353515e-10	-0.32234713	0.13080414	0.020923188
5.350885461817533e-10	-0.32433268	0.12788099	0.020887095
5.401052317494844e-10	-0.3262483	0.12491384	0.020849604
5.45121839728418e-10	-0.32809478	0.121905565	0.020811506
5.501386466531023e-10	-0.329873	0.11885914	0.020773672
5.551553959858893e-10	-0.33158335	0.11577801	0.020737039
5.600103223899693e-10	-0.33317417	0.112766296	0.020703606
5.650268906520352e-10	-0.33475134	0.10962662	0.020672023
5.700436270672105e-10	-0.3362605	0.106461875	0.020644264
5.750603631457705e-10	-0.33770105	0.103275254	0.020621015
5.800770667690749e-10	-0.3390719	0.1000696	0.020602796
5.850938056264951e-10	-0.34037212	0.09684748	0.02058991
5.90110412020739e-10	-0.34160012	0.0936113	0.020582424
5.951270657513301e-10	-0.3427547	0.090362936	0.02058016
6.001437758924933e-10	-0.3438343	0.087104104	0.020582674
6.051603763642677e-10	-0.3448377	0.08383632	0.020589307
6.100153785773711e-10	-0.34573504	0.08066632	0.02059886
6.150320165887247e-10	-0.34658524	0.07738399	0.020611027
6.200488159903931e-10	-0.34735668	0.074095435	0.020624522
6.250654159905288e-10	-0.348049	0.07080158	0.02063833
6.300820637059937e-10	-0.34866253	0.067502886	0.020651553
6.350988114177957e-10	-0.3491977	0.06419991	0.020663418
6.401155464300683e-10	-0.34965542	0.060893394	0.02067337
6.451322044750808e-10	-0.3500368	0.057584114	0.020681083
6.501489055637068e-10	-0.35034308	0.05427286	0.020686494
6.550037908537913e-10	-0.35056943	0.05106752	0.02068969
6.600204321382502e-10	-0.35073236	0.047755655	0.02069127
6.650370538064238e-10	-0.3508245	0.044445474	0.020691678
6.700537383460413e-10	-0.35084733	0.041138556	0.02069164
6.750703898267092e-10	-0.350802	0.037836798	0.020691963
6.800870889528954e-10	-0.35068956	0.034542162	0.020693494
6.851037629872659e-10	-0.35051072	0.03125687	0.020697048
6.901204476678048e-10	-0.35026613	0.027983166	0.020703355
6.951371437594981e-10	-0.34995607	0.024723394	0.020713015
7.00153928788646e-10	-0.34958068	0.021479819	0.02072645
7.050087819807777e-10	-0.34915528	0.018358562	0.020743262
7.100255875544396e-10	-0.3486513	0.015153486	0.020764574
7.150423449559561e-10	-0.3480818	0.011971055	0.020789705
7.200590286822594e-10	-0.3474466	0.0088130925	0.020818258
7.250757414359321e-10	-0.34674567	0.0056811436	0.02084969
7.300925186673095e-10	-0.34597903	0.0025765863	0.02088334
7.351092220280252e-10	-0.34514695	-0.0004992871	0.02091849
7.401259004785356e-10	-0.3442498	-0.0035454663	0.020954419
7.451426669450393e-10	-0.34328827	-0.0065611196	0.02099046
7.501593866345889e-10	-0.3422632	-0.0095453495	0.021026038
7.550143791212876e-10	-0.3412116	-0.012402772	0.021059627
7.600311249839823e-10	-0.34006467	-0.015323043	0.02109321
7.650478899283281e-10	-0.33885786	-0.018209692	0.021125564
7.700647510487855e-10	-0.3375925	-0.021061929	0.021156773
7.750815164725001e-10	-0.33627015	-0.02387876	0.02118709
7.800982900117626e-10	-0.33489245	-0.02665925	0.021216908
7.851150147336767e-10	-0.3334609	-0.029402286	0.021246703
7.901318485934583e-10	-0.33197683	-0.03210675	0.021277037
7.951486173407824e-10	-0.3304417	-0.03477128	0.021308476
8.000035995272286e-10	-0.3289086	-0.037310608	0.021340469
8.050204260777857e-10	-0.32727644	-0.039892633	0.02137561
8.100372926410829e-10	-0.32559645	-0.04243059	0.021413252
