# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.983775	2.6660475e-05	0	0.055999998	0	0
0	0.983484	2.7091675e-05	0	0.05499998	0	0
0	0.98318577	2.7540093e-05	0	0.054000016	0	0
0	0.98288023	2.8003027e-05	0	0.052999977	0	0
0	0.9825668	2.8483248e-05	0	0.052000012	0	0
0	0.9822454	2.8981114e-05	0	0.051	0	0
0	0.9819157	2.9504808e-05	0	0.049999986	0	0
0	0.9815773	3.0045925e-05	0	0.049000017	0	0
0	0.98122984	3.0606898e-05	0	0.047999986	0	0
0	0.9808729	3.1191048e-05	0	0.047000017	0	0
0	0.9805063	3.1804946e-05	0	0.046	0	0
0	0.98012966	3.2441007e-05	0	0.04499999	0	0
0	0.9797423	3.3104745e-05	0	0.044000022	0	0
0	0.97934383	3.380222e-05	0	0.04299999	0	0
0	0.9789338	3.4533092e-05	0	0.042000018	0	0
0	0.9785118	3.5302728e-05	0	0.041000005	0	0
0	0.9780772	3.611279e-05	0	0.039999995	0	0
0	0.9776295	3.6953927e-05	0	0.039	0	0
0	0.9771679	3.784477e-05	0	0.03799999	0	0
0	0.9766921	3.8782964e-05	0	0.036999997	0	0
0	0.97620094	3.9776904e-05	0	0.03600001	0	0
0	0.975694	4.0837684e-05	0	0.035000008	0	0
0	0.9751707	4.1957166e-05	0	0.033999998	0	0
0	0.97462976	4.3149477e-05	0	0.032999996	0	0
0	0.9740705	4.442067e-05	0	0.032	0	0
0	0.9734919	4.5788503e-05	0	0.031000005	0	0
0	0.9728931	4.7257072e-05	0	0.029999986	0	0
0	0.9722729	4.882885e-05	0	0.028999986	0	0
0	0.9716301	5.053564e-05	0	0.027999999	0	0
0	0.97096336	5.2389798e-05	0	0.027000008	0	0
0	0.97027147	5.4398053e-05	0	0.026000006	0	0
0	0.9695528	5.6585563e-05	0	0.024999993	0	0
0	0.9688059	5.9024595e-05	0	0.023999993	0	0
0	0.9680288	6.174466e-05	0	0.023	0	0
0	0.9672201	6.474562e-05	0	0.022000011	0	0
0	0.96637726	6.810933e-05	0	0.021000009	0	0
0	0.9654983	7.189007e-05	0	0.019999998	0	0
0	0.96458066	7.6218734e-05	0	0.018999996	0	0
0	0.96362185	8.119428e-05	0	0.018000005	0	0
0	0.96261865	8.7042456e-05	0	0.016999999	0	0
0	0.9615685	9.371735e-05	0	0.016	0	0
0	0.9604669	0.00010176196	0	0.014999993	0	0
0	0.95931077	0.00011147295	0	0.0139999995	0	0
0	0.9580953	0.0001233843	0	0.013000003	0	0
0	0.95681584	0.00013833666	0	0.011999996	0	0
0	0.955467	0.0001576126	0	0.0110000055	0	0
0	0.95404273	0.00018255162	0	0.009999999	0	0
0	0.9525361	0.00021578444	0	0.009000002	0	0
0	0.95093983	0.00026054957	0	0.008	0	0
0	0.9492448	0.00032244233	0	0.0069999998	0	0
0	0.9474416	0.00040897628	0	0.005999998	0	0
0	0.9455195	0.00052807434	0	0.0049999994	0	0
0	0.9434647	0.00069585297	0	0.004	0	0
0	0.94126403	0.0009286433	0	0.002999999	0	0
0	0.9389007	0.0012468552	0	0.002	0	0
0	0.93635553	0.001673295	0	0.001	0	0
0	0.93360776	0.0022207424	0	0	0	0
0	0.93063587	0.0028681145	0	-0.001	0	0
0	0.83750606	0.17538184	0	-0.002	0	0
0	0.813756	0.1885987	0	-0.002999999	0	0
0	0.7796909	0.20631187	0	-0.004	0	0
0	0.72373164	0.2366347	0	-0.0049999994	0	0
0	0.54629487	0.263725	0	-0.005999998	0	0
0	0.47461703	0.29187006	0	-0.0069999998	0	0
0	0.3868335	0.34795752	0	-0.008	0	0
0	0.22568382	0.47653836	0	-0.009000002	0	0
0	-0.62470645	0.42047894	0	-0.009999999	0	0
0	-0.6565135	0.40506622	0	-0.0110000055	0	0
